"course_name","lat","long","tees","to_par","slope","course_rating","hole","yds","par","hole_handicap"
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,7,402,4,1
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,8,437,4,3
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,9,170,3,7
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,10,390,4,10
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,11,173,3,16
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,12,411,4,6
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,13,515,5,18
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,14,427,4,4
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,15,360,4,14
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,16,380,4,8
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,17,137,3,12
"Dell Urich",32.2106312,-110.9138233,"combo",70,120,68.5,18,439,4,2
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,1,347,4,9
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,2,170,3,5
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,3,534,5,13
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,4,277,4,17
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,5,143,3,11
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,6,527,5,15
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,7,402,4,1
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,8,437,4,3
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,9,170,3,7
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,10,364,4,10
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,11,173,3,16
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,12,411,4,6
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,13,502,5,18
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,14,427,4,4
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,15,360,4,14
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,16,350,4,8
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,17,126,3,12
"Dell Urich",32.2106312,-110.9138233,"white",70,116,67.8,18,401,4,2
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,1,394,4,12
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,2,406,4,6
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,3,427,4,4
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,4,117,3,18
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,5,442,4,2
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,6,189,3,16
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,7,376,4,8
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,8,343,4,14
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,9,511,5,10
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,10,353,4,13
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,11,446,4,1
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,12,344,4,17
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,13,203,3,7
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,14,322,4,11
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,15,366,4,15
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,16,417,4,5
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,17,219,3,3
"El Rio",32.2389473,-110.9982372,"blue",70,124,69,18,561,5,9
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,1,394,4,12
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,2,373,4,6
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,3,400,4,4
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,4,117,3,18
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,5,418,4,2
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,6,158,3,16
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,7,376,4,8
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,8,343,4,14
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,9,492,5,10
"El Rio",32.2389473,-110.9982372,"combo",70,121,68,10,323,4,13
